19:42:59.787 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:42:59.787 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:43:02.718 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:43:02.724 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:43:02.724 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:43:07.724 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:43:07.730 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:43:07.730 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:43:10.747 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:43:10.755 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:43:10.756 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:43:13.357 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:43:13.363 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:43:13.363 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:43:16.234 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:43:16.241 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:43:16.242 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:43:19.703 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:43:19.711 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:43:19.712 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:43:22.465 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.custom.CustomApplicationTests], using SpringBootContextLoader
19:43:22.474 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.custom.CustomApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:43:22.475 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.custom.CustomApplicationTests]: CustomApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
