GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tree_2,ru.skorikov,Tree.Node,0,14,0,0,0,4,0,1,0,1
Tree_2,ru.skorikov,Tree.new Iterator() {...},12,15,2,0,1,2,2,2,1,2
Tree_2,ru.skorikov,Tree,7,252,4,26,1,58,4,20,0,9
