GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
M_Synch.3,ru.skorikov,SimpleArrayContainer,0,74,0,4,0,14,0,6,0,4
M_Synch.3,ru.skorikov,SimpleLinkedContainer.Element,0,9,0,0,0,3,0,1,0,1
M_Synch.3,ru.skorikov,SimpleArrayContainer.new Iterator() {...},0,40,0,4,0,6,0,5,0,3
M_Synch.3,ru.skorikov,SimpleLinkedContainer.new Iterator() {...},2,33,1,1,0,7,1,3,0,3
M_Synch.3,ru.skorikov,SimpleLinkedContainer,0,76,0,8,0,23,0,8,0,4
