GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
map3,ru.skorikov,User,0,88,0,0,0,24,0,8,0,8
map3,ru.skorikov,UserOverrideHashCode,9,53,0,0,3,9,1,2,1,2
