GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
5.1.4,ru.skorikov,ConvertIterator.new Iterator() {...},0,54,2,4,0,12,2,4,0,3
5.1.4,ru.skorikov,ConvertIterator,0,8,0,0,0,2,0,2,0,2
