GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DigitalCollections: Blueprints 3: REST Webservice Server (Frontend IMPL Spring Boot),de.digitalcollections.blueprints.rest.server.service.impl,UserDetailsServiceImpl,5,19,0,0,1,5,1,2,1,2
DigitalCollections: Blueprints 3: REST Webservice Server (Frontend IMPL Spring Boot),de.digitalcollections.blueprints.rest.server.controller,GreetingController,0,23,0,0,0,3,0,2,0,2
DigitalCollections: Blueprints 3: REST Webservice Server (Frontend IMPL Spring Boot),de.digitalcollections.blueprints.rest.server.controller,AdminController,7,9,0,0,1,2,1,1,1,1
