GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DigitalCollections: Blueprints 2 (Business IMPL),de.digitalcollections.blueprints.crud.business.impl.validators,PasswordsValidatorParams,21,0,0,0,8,0,4,0,4,0
DigitalCollections: Blueprints 2 (Business IMPL),de.digitalcollections.blueprints.crud.business.impl.validators,UniqueUsernameValidator,22,3,2,0,8,1,3,1,2,1
DigitalCollections: Blueprints 2 (Business IMPL),de.digitalcollections.blueprints.crud.business.impl.validators,PasswordsValidator,54,3,10,0,15,1,7,1,2,1
DigitalCollections: Blueprints 2 (Business IMPL),de.digitalcollections.blueprints.crud.business.impl.service,RoleServiceImpl,36,3,0,0,4,1,4,1,4,1
DigitalCollections: Blueprints 2 (Business IMPL),de.digitalcollections.blueprints.crud.business.impl.service,OperationServiceImpl,14,3,0,0,1,1,1,1,1,1
DigitalCollections: Blueprints 2 (Business IMPL),de.digitalcollections.blueprints.crud.business.impl.service,UserServiceImpl,192,51,15,3,42,11,19,4,10,4
