GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
5.2.2,ru.skorikov,UserStore,0,4,0,0,0,2,0,1,0,1
5.2.2,ru.skorikov,User,7,7,0,0,3,3,2,1,2,1
5.2.2,ru.skorikov,Base,4,9,0,0,2,4,1,2,1,2
5.2.2,ru.skorikov,AbstractStore,2,81,3,5,0,22,3,6,0,5
5.2.2,ru.skorikov,SimpleArray,4,120,1,11,1,22,1,11,0,6
5.2.2,ru.skorikov,RoleStore,4,0,0,0,2,0,1,0,1,0
5.2.2,ru.skorikov,Role,0,14,0,0,0,6,0,3,0,3
